Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.60,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.60,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.60,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.60,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.60,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.60,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.60,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
          0.42,  0.56,  0.57,  0.33,  1.00,  0.74,  0.39,  0.38,  0.62,  0.10,  1.00,  0.61,  0.17,  0.25Glove14Left@localhost:
